Number,English,Unicode,Pinyin,Simplified,Traditional
1,The Creative,䷀,Qián,乾,
2,The Receptive,䷁,Kūn,坤,
3,Difficulty at the Beginning,䷂,Zhūn,屯,
4,Youthful Folly,䷃,Méng,蒙,
5,Waiting,䷄,Xū,需,
6,Conflict,䷅,Sòng,讼,訟
7,The Army,䷆,Shī,师,師
8,Holding Together,䷇,Bǐ,比,
9,Small Taming,䷈,Xiǎo Chù,小畜,
10,Treading,䷉,Lǚ,履,
11,Peace,䷊,Tài,泰,
12,Standstill,䷋,Pǐ,否,
13,Fellowship,䷌,Tóng Rén,同人,
14,Great Possession,䷍,Dà Yǒu,大有,
15,Modesty,䷎,Qiān,谦,謙
16,Enthusiasm,䷏,Yù,豫,
17,Following,䷐,Suí,随,隨
18,Work on the Decayed,䷑,Gǔ,蛊,蠱
19,Approach,䷒,Lín,临,臨
20,Contemplation,䷓,Guān,观,觀
21,Biting Through,䷔,Shì Kè,噬嗑,
22,Grace,䷕,Bì,贲,賁
23,Splitting Apart,䷖,Bō,剥,剝
24,Return,䷗,Fù,复,復
25,Innocence,䷘,Wú Wàng,无妄,無妄
26,Great Taming,䷙,Dà Chù,大畜,
27,Nourishment,䷚,Yí,颐,頤
28,Great Excess,䷛,Dà Guò,大过,大過
29,The Abysmal,䷜,Kǎn,坎,
30,The Clinging,䷝,Lí,离,離
31,Influence,䷞,Xián,咸,
32,Duration,䷟,Héng,恒,恆
33,Retreat,䷠,Dùn,遁,遯
34,Great Power,䷡,Dà Zhuàng,大壮,大壯
35,Progress,䷢,Jìn,晋,晉
36,Darkening of the Light,䷣,Míng Yí,明夷,
37,The Family,䷤,Jiā Rén,家人,
38,Opposition,䷥,Kuí,睽,
39,Obstruction,䷦,Jiǎn,蹇,
40,Deliverance,䷧,Xiè,解,
41,Decrease,䷨,Sǔn,损,損
42,Increase,䷩,Yì,益,
43,Breakthrough,䷪,Guài,夬,
44,Coming to Meet,䷫,Gòu,姤,
45,Gathering Together,䷬,Cuì,萃,
46,Pushing Upward,䷭,Shēng,升,
47,Oppression,䷮,Kùn,困,
48,The Well,䷯,Jǐng,井,
49,Revolution,䷰,Gé,革,
50,The Cauldron,䷱,Dǐng,鼎,
51,The Arousing,䷲,Zhèn,震,
52,Keeping Still,䷳,Gèn,艮,
53,Development,䷴,Jiàn,渐,漸
54,The Marrying Maiden,䷵,Guī Mèi,归妹,歸妹
55,Abundance,䷶,Fēng,丰,豐
56,The Wanderer,䷷,Lǚ,旅,
57,The Gentle,䷸,Xùn,巽,
58,The Joyous,䷹,Duì,兑,兌
59,Dispersion,䷺,Huàn,涣,渙
60,Limitation,䷻,Jié,节,節
61,Inner Truth,䷼,Zhōng Fú,中孚,
62,Small Excess,䷽,Xiǎo Guò,小过,小過
63,After Completion,䷾,Jì Jì,既济,既濟
64,Before Completion,䷿,Wèi Jì,未济,未濟
